Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-53.5248	-98.1869	44.66211	0.3195753	0.442872	0.557128	0.5044003
6	-45.63952	-90.4973	44.85778	0.1106457	0.797583	0.202417	0.4228299
12	-46.96378	-91.77988	44.8161	0.1642751	0.797583	0.202417	0.526442
18	-47.89485	-91.74664	43.85178	1.048076	0.936019	0.0639814	0.7304789
24	-46.1826	-90.45442	44.27182	0.6508154	0.894056	0.105944	0.6921236
30	-43.93554	-88.2209	44.28536	0.6963531	0.907744	0.0922556	0.5026341
36	-46.38218	-90.78693	44.40474	0.5768872	0.878253	0.121747	0.5068286
42	-47.53441	-91.48288	43.94847	1.01552	0.924523	0.0754769	0.6001682
48	-51.96836	-96.63163	44.66328	0.3135654	0.924523	0.0754769	0.4522149
54	-57.82312	-102.3424	44.51924	0.1024396	0.743676	0.256324	1.051887
60	-44.45989	-89.23649	44.77661	0.2006726	0.918185	0.0818151	0.4543312
66	-43.87909	-88.32359	44.44451	0.4848835	0.822632	0.177368	0.3551943
72	-44.57837	-88.88068	44.30231	0.6789988	0.831236	0.168764	0.4857195
78	-44.90944	-89.76139	44.85195	0.06032958	0.848029	0.151971	0.7101728
84	-45.67962	-89.50012	43.8205	1.020584	0.596526	0.403474	0.2794776
90	-53.75429	-98.25943	44.50515	0.1226853	0.971191	0.0288088	1.046012
96	-55.77057	-99.66762	43.89705	0.1844732	0.982849	0.0171509	1.499107
102	-60.4479	-104.2903	43.84239	1.12982	0.974903	0.0250971	0.4341554
108	-51.78057	-95.63246	43.85189	1.12982	0.955313	0.0446873	0.5022993
114	-50.37225	-94.87787	44.50562	0.4140535	0.912808	0.0871916	0.6973939
120	-50.22697	-94.569	44.34203	0.2838601	0.79254	0.20746	1.047866
126	-53.03037	-97.08508	44.05471	0.6922252	0.940087	0.0599134	0.924971
132	-46.92154	-91.53871	44.61717	0.01275342	0.966316	0.0336838	1.044009
138	-52.5261	-96.4842	43.9581	0.6218954	0.906944	0.0930562	1.09097
144	-50.04459	-94.46781	44.42322	0.4352973	0.811399	0.188601	0.2910574
150	-52.25204	-96.73483	44.48278	0.4352973	0.725388	0.274612	0.7001987
156	-50.19989	-94.45626	44.25636	0.7223099	0.797649	0.202351	0.5400785
162	-52.43135	-96.87973	44.44838	0.4690469	0.893408	0.106592	0.7013362
168	-55.57329	-100.0702	44.49689	0.4690469	0.893408	0.106592	0.4163524
174	-52.9822	-97.59004	44.60784	0.3271395	0.627807	0.372193	0.6688439
180	-51.52572	-96.11473	44.58901	0.1751436	0.946556	0.0534439	0.9060015
186	-50.03205	-94.54303	44.51098	0.4541836	0.8959	0.1041	0.4144481
192	-49.96356	-94.81443	44.85087	0.119489	0.620397	0.379603	0.4283557
198	-54.21729	-99.06782	44.85054	0.1311658	0.619235	0.380765	0.4970971
204	-50.22488	-93.53721	43.31232	1.39547	0.911952	0.0880475	0.2150148
210	-48.498	-91.66696	43.16896	1.39547	0.990592	0.00940754	0.1703909
216	-48.84724	-92.79689	43.94965	0.9774049	0.805239	0.194761	0.3523727
222	-51.63465	-95.51815	43.8835	0.9774049	0.637544	0.362456	0.2927328
228	-51.43119	-96.31044	44.87925	0.1021352	0.668164	0.331836	0.4871468
234	-58.15281	-102.132	43.97917	0.9860478	0.853977	0.146023	0.4145706
240	-47.76067	-92.253	44.49233	0.4893246	0.970747	0.0292531	0.494261
246	-44.76829	-89.52344	44.75515	0.1490493	0.932528	0.0674725	0.7235196
252	-50.42442	-95.16368	44.73926	0.09615957	0.796207	0.203793	0.8212743
258	-47.90754	-92.44575	44.53821	0.4378954	0.842553	0.157447	0.5549015
264	-45.76878	-90.33326	44.56448	0.4079581	0.947087	0.0529129	0.571265
270	-48.22567	-92.55221	44.32655	0.6302842	0.99511	0.00489032	0.3965789
276	-47.55407	-91.47671	43.92264	1.056925	0.951925	0.0480748	0.5335715
282	-46.82679	-91.29053	44.46375	0.3629576	0.902506	0.0974939	0.2706872
288	-43.97795	-88.37644	44.39848	0.5715453	0.98666	0.0133401	0.5804081
