Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-46.67967	-91.19356	44.51389	0.00282248	0.0197315	0.0159612	0.0406883	0.0598188	0.0173497	0.00167972	0.000151329	0.0397879	0.0868133	0.0252383	0.00876455	0.00823919	0.0272837	0.00134123	0.00330138	0.0044941	0.00201387	0.0421131	0.0278643	0.0142791	0.0207851	0.0124289	0.0840876	0.0288464	0.00275956	0.126293	0.00759252	0.0308597	0.0341534	0.0265044	0.0108391	0.02123	0.0177412	0.00289329	0.682744	0.83017	0.943586	1.05979	1.20457	1.46468	0.2759481	0.00321924	0.0225053	0.0182049	0.046408	0.0682278	0.0197886	0.00191585	0.000172602	0.0453811	0.099017	0.0287862	0.00999662	0.00939741	0.0311191	0.00152978	0.00376546	0.00512586	0.00229697	0.0480331	0.0317814	0.0162864	0.0237069	0.0141761	0.0959082	0.0329015	0.00314748	0.144047	0.00865983	0.0351978	0.0389545	0.0302303	0.0123628	0.0242144	0.0202351	0.00330001	0.956414	0.0435857	0.9564143	0.8767512
36	-50.105	-94.56898	44.46398	0.000338353	0.000741172	0.00575294	0.0051483	0.00772731	0.00865799	0.00907224	0.000519697	0.00707963	0.00636983	0.0224245	0.00560892	0.0164769	0.051151	4.2051e-05	0.00875879	0.0206037	0.00167626	0.00177778	0.0145201	0.0214405	0.00949336	0.0197991	0.0450461	0.0231218	0.0108746	0.0579537	0.0307411	0.00184851	0.0400524	0.0177056	0.0035881	0.0218631	0.0241071	0.00318933	0.48952	0.70583	0.89701	1.11481	1.41677	2.04282	0.5165095	0.000644148	0.00141102	0.0109523	0.00980121	0.0147111	0.0164829	0.0172715	0.000989385	0.013478	0.0121267	0.0426913	0.0106781	0.0313683	0.09738	8.00556e-05	0.0166748	0.0392248	0.00319122	0.0033845	0.0276431	0.040818	0.0180732	0.037693	0.0857576	0.0440187	0.0207028	0.110331	0.0585242	0.00351916	0.0762508	0.0337076	0.00683094	0.0416225	0.0458945	0.00607176	0.9321	0.0679005	0.9320995	0.5252721
72	-63.25238	-107.0317	43.77929	0.00481351	0.0119617	0.00454241	0.0207269	0.0125099	0.00948306	0.0352539	0.000706735	0.00263759	0.00562449	0.0249345	0.029244	0.00393476	0.012565	0.0112566	0.0153672	0.0139493	0.0156627	0.010662	0.00683029	0.006217	0.0259304	0.0108328	0.00861037	0.00245961	0.0856983	0.0079059	0.00602055	0.072384	0.0235318	0.0308755	0.00703724	0.0327918	0.0560956	0.00610699	0.197897	0.453807	0.781538	1.27953	2.20358	5.05313	1.171378	0.00757836	0.0188325	0.00715155	0.0326323	0.0196956	0.0149301	0.0555036	0.00111268	0.00415262	0.00885517	0.0392567	0.0460416	0.00619487	0.0197823	0.0177223	0.0241941	0.0219617	0.0246594	0.0167862	0.0107536	0.00978802	0.0408246	0.0170551	0.0135561	0.0038724	0.134923	0.012447	0.00947872	0.113961	0.0370484	0.0486102	0.0110794	0.0516272	0.0883166	0.00961482	0.613117	0.386883	0.6131173	0.6351644
108	-45.34211	-89.87676	44.53465	0.00262194	0.0231408	0.0117577	0.00369972	0.013778	0.000389821	0.00663561	0.000234363	0.00341905	0.0204536	0.00318687	0.00464277	0.00506627	0.0101491	0.00843978	0.00108814	0.00270503	0.0210014	0.00313862	0.00747174	0.00371148	0.0096055	0.00516339	0.00349591	0.00232583	0.00353415	0.024274	0.00587477	0.0189618	0.00158444	0.01248	0.00048463	0.00392413	0.0141559	0.00614249	0.670785	0.823046	0.941053	1.06264	1.215	1.49079	0.2887261	0.00975646	0.0861088	0.0437515	0.013767	0.0512692	0.00145056	0.0246917	0.000872085	0.0127226	0.0761095	0.0118586	0.0172761	0.018852	0.0377658	0.0314052	0.00404905	0.0100656	0.0781481	0.0116791	0.027803	0.0138107	0.0357429	0.0192134	0.0130086	0.0086546	0.0131509	0.0903255	0.0218605	0.0705584	0.00589585	0.0464392	0.00180335	0.014602	0.0526755	0.0228567	0.872898	0.127102	0.8728984	0.2687388
144	-51.8794	-96.35048	44.47108	0.00694743	0.0234118	0.0512266	0.000113905	0.0119377	0.0102016	0.00131457	0.00761605	0.0131508	0.0239461	0.00355714	0.00627082	0.0183218	0.00415698	0.00472754	0.00356309	0.00551363	0.0151074	0.0378734	0.00918661	0.000591183	0.00650016	0.0212686	0.00637082	0.00404094	0.000230449	0.0122709	0.00527903	0.0321483	0.00554119	0.0277101	0.00465907	0.00134449	0.0590512	0.0165218	0.495626	0.71011	0.898703	1.11271	1.40823	2.01765	0.507547	0.0150484	0.0507108	0.110959	0.000246722	0.0258574	0.0220971	0.00284741	0.0164966	0.0284851	0.051868	0.0077049	0.0135828	0.0396857	0.00900415	0.01024	0.00771777	0.0119427	0.0327232	0.0820351	0.0198985	0.00128052	0.0140796	0.0460685	0.0137994	0.00875281	0.000499161	0.0265793	0.0114346	0.0696342	0.0120024	0.060021	0.0100917	0.0029122	0.127907	0.0357868	0.936391	0.0636092	0.9363908	0.4616732
180	-49.8215	-94.11408	44.29258	0.0164657	0.0241739	0.0303464	0.00781489	0.0105407	0.000665064	0.0224223	0.0119717	0.00197363	0.0266291	0.00162781	0.0262999	0.00797069	0.0420289	0.0298152	0.0562832	0.00917384	0.00641805	0.0181036	0.0164428	0.00952068	0.025421	0.0920681	0.00378923	0.00246432	0.0136987	0.0185086	0.00547747	0.0196661	0.0511104	0.0327165	0.0312957	0.00117712	0.00599657	0.0203773	0.421111	0.655869	0.876699	1.14064	1.52469	2.37467	0.6253528	0.0235071	0.0345116	0.0433238	0.0111569	0.0150484	0.000949474	0.0320111	0.0170914	0.00281764	0.0380168	0.00232393	0.0375469	0.0113793	0.0600023	0.0425655	0.0803524	0.013097	0.00916269	0.0258454	0.0234745	0.0135921	0.0362921	0.13144	0.00540967	0.00351817	0.0195568	0.0264237	0.00781987	0.0280762	0.0729674	0.0467075	0.0446791	0.00168051	0.00856096	0.0290915	0.981991	0.0180092	0.9819908	0.7004551
216	-52.65823	-97.28215	44.62392	0.00333277	0.0424371	0.0144053	0.0142257	0.0375152	0.00679269	0.000690791	0.0478994	0.0128913	0.0302466	0.00448583	0.0484935	0.00514889	0.115095	0.000794832	0.0532681	0.00870705	0.000414301	0.0184882	0.00863182	0.0347557	0.0432031	0.0844859	0.00618702	0.0111384	0.00346557	0.0138773	0.127394	0.0241815	0.0852439	0.0467463	0.0635806	3.53224e-05	0.00155634	0.0126767	0.975493	0.987972	0.996232	1.00378	1.01217	1.02512	0.01794102	0.00322789	0.0411016	0.0139519	0.013778	0.0363346	0.00657892	0.000669051	0.046392	0.0124856	0.0292947	0.00434466	0.0469674	0.00498685	0.111473	0.000769819	0.0515917	0.00843304	0.000401263	0.0179063	0.00836018	0.0336619	0.0418435	0.0818271	0.00599231	0.0107878	0.00335651	0.0134406	0.123385	0.0234205	0.0825613	0.0452752	0.0615797	3.42108e-05	0.00150736	0.0122778	0.937214	0.0627858	0.9372142	1.032493
252	-47.94918	-92.59859	44.64941	0.0271206	0.0155636	0.0278015	0.036114	0.0254261	0.00454681	0.000177213	0.000948322	0.0214723	0.0285793	0.00289985	0.0357423	0.00840053	0.0709919	0.000964938	0.000881213	0.00853004	0.00357281	0.000177308	0.0139929	0.0201322	0.0162839	0.0257351	0.00120283	0.00699721	0.0210721	0.00997322	0.0086486	0.0282345	0.0221726	0.0317269	0.0278443	0.00049061	0.0417288	0.00517158	0.647569	0.809029	0.936023	1.06835	1.23605	1.54424	0.3141947	0.045102	0.0258825	0.0462342	0.0600582	0.042284	0.0075614	0.000294707	0.00157707	0.0357087	0.0475278	0.00482249	0.0594399	0.0139702	0.11806	0.00160471	0.00146547	0.0141856	0.00594164	0.000294865	0.0232704	0.0334801	0.0270803	0.0427978	0.00200033	0.0116365	0.0350432	0.0165856	0.0143827	0.0469543	0.0368733	0.0527623	0.0463054	0.000815891	0.0693956	0.00860042	0.968777	0.0312231	0.9687769	0.6013178
288	-57.29658	-101.5482	44.25159	0.0518632	0.0607344	0.0141298	0.014174	0.048229	0.0306202	0.00420189	0.00256617	0.0094992	0.00828277	0.0188923	0.00720728	0.0352099	0.0655601	0.0131682	0.0409071	0.0985488	0.000295636	0.0337675	0.010172	0.0132129	0.0466955	0.069518	0.0645472	0.0272851	0.0620546	0.0110738	0.00643491	0.133052	0.00232121	0.00112403	0.0334271	0.121793	0.0141748	0.040123	0.770854	0.880798	0.961175	1.04039	1.13533	1.29726	0.1881828	0.0426905	0.0499927	0.0116307	0.0116671	0.039699	0.0252046	0.00345872	0.00211231	0.00781913	0.00681784	0.0155509	0.00593257	0.0289825	0.0539649	0.0108392	0.0336721	0.081119	0.000243349	0.0277952	0.00837294	0.010876	0.0384367	0.0572227	0.0531311	0.0224594	0.0510794	0.0091152	0.0052968	0.10952	0.00191067	0.000925226	0.027515	0.100252	0.0116678	0.0330266	0.75543	0.24457	0.7554298	1.214867
324	-53.2102	-97.65632	44.44612	0.00251449	0.0104512	0.00625648	0.0497014	0.010761	0.00765583	0.00367733	0.00207472	0.00830476	0.00136794	0.0244733	0.00651571	0.00944326	0.0118092	0.00180857	0.00945674	0.0124849	0.0116419	0.00109196	0.00467361	0.0112291	0.00364819	0.011729	0.000498529	0.0168642	0.0209196	0.0209818	0.00320583	0.050457	0.0091147	0.0138273	0.0242439	0.00727326	0.0323897	0.0253504	0.480628	0.699548	0.894511	1.11793	1.4295	2.08061	0.5297655	0.005614	0.0233339	0.0139686	0.110966	0.0240256	0.0170928	0.00821021	0.00463213	0.0185417	0.00305415	0.0546406	0.0145473	0.0210836	0.0263659	0.00403793	0.0211136	0.0278745	0.0259925	0.00243797	0.0104346	0.0250707	0.00814516	0.0261868	0.00111304	0.037652	0.0467062	0.0468452	0.00715751	0.112653	0.02035	0.0308715	0.0541283	0.0162387	0.0723151	0.0565987	0.977151	0.0228493	0.9771507	0.4478969
